,date,open,high,low,close,flag,EMA1,EMA2,EMA3,EMA4,smalemadifference,longemadifference
670,2024-04-30 12:38:00+05:30,561.0,561.0,561.0,561.0,6,561.225157709658,559.8154314448607,550.0648560707206,540.5527465275787,1.4097262647973139,9.512109543141833
671,2024-04-30 12:40:00+05:30,557.0,557.0,557.0,557.0,6,559.112578854829,559.0110224606148,550.7253459687472,541.6138596548317,0.10155639421429896,9.11148631391552
672,2024-04-30 12:41:00+05:30,548.0,548.0,548.0,548.0,6,553.5562894274145,555.8650160432962,550.4657892098189,542.0258687093587,-2.30872661588171,8.439920500460175
673,2024-04-30 13:23:00+05:30,547.0,547.0,547.0,547.0,4,550.2781447137072,553.3321543166402,550.135714046979,542.3467804055292,-3.054009602932979,7.78893364144983
674,2024-04-30 14:11:00+05:30,557.85,557.85,557.85,557.85,1,554.0640723568536,554.6229673690287,550.8704079472667,543.3469881213016,-0.558895012175185,7.523419825965107
675,2024-04-30 14:44:00+05:30,555.0,555.0,555.0,555.0,2,554.5320361784268,554.7306909778777,551.2637024284794,544.0987953392821,-0.19865479945087827,7.1649070891973
676,2024-04-30 14:51:00+05:30,520.1,520.15,520.1,520.1,5,537.3160180892135,544.8362078413412,548.2957307686243,542.5504859625543,-7.520189752127749,5.745244806069991
677,2024-04-30 14:52:00+05:30,513.35,513.35,513.35,513.35,1,525.3330090446068,535.8401484581009,544.9675659335171,540.6665836423895,-10.507139413494087,4.300982291127639
678,2024-04-30 14:55:00+05:30,524.0,524.0,524.0,524.0,2,524.6665045223034,532.4572488986435,542.9706548922297,539.5913201815902,-7.790744376340058,3.3793347106395686
679,2024-04-30 15:00:00+05:30,503.5,503.5,503.5,503.5,2,514.0832522611518,524.1837492133168,539.2115449024935,537.2628479118101,-10.100496952165031,1.948696990683402
680,2024-04-30 15:05:00+05:30,481.5,481.5,481.5,481.5,4,497.7916261305759,511.9883922952263,533.7152072927322,533.6652448207255,-14.196766164650398,0.049962472006654934
681,2024-04-30 15:06:00+05:30,483.8,483.8,474.1,474.1,2,485.94581306528795,501.1631373537331,528.0375685029483,529.8223258000336,-15.217324288445127,-1.7847572970853207
682,2024-04-30 15:13:00+05:30,480.85,485.9,480.85,485.9,4,485.922906532644,496.8022409669522,524.0244667407627,526.9886273613217,-10.879334434308191,-2.964160620559028
